,id,index_right,cluster,sqkm,precipitation prc_mean,SGC yld Irrigation High_mean,YAM yld Rain-fed Low_mean,CAS yld Rain-fed Low_mean,SGC yld Rain-fed High_mean,SGC evt Irrigation Low_mean,PTS evt Rain-fed Low_mean,RCP yld Irrigation Low_mean,YAM cwd Rain-fed High_mean,CON cwd Rain-fed High_mean,CON evt Irrigation Low_mean,CAS evt Rain-fed High_mean,PTS yld Rain-fed High_mean,PTS evt Irrigation High_mean,RCP yld Rain-fed High_mean,SGC yld Rain-fed Low_mean,RCP evt Rain-fed Low_mean,YAM yld Irrigation High_mean,SGC yld Irrigation Low_mean,CON yld Irrigation High_mean,CON yld Irrigation Low_mean,YAM evt Irrigation High_mean,CAS evt Irrigation Low_mean,RCP cwd Rain-fed Low_mean,SGC cwd Irrigation Low_mean,RCP yld Rain-fed Low_mean,CON cwd Rain-fed Low_mean,RCP evt Irrigation High_mean,PTS evt Rain-fed High_mean,YAM evt Rain-fed High_mean,PTS cwd Rain-fed High_mean,YAM evt Rain-fed Low_mean,PTS evt Irrigation Low_mean,CAS cwd Irrigation Low_mean,CAS yld Rain-fed High_mean,CON yld Rain-fed Low_mean,PTS cwd Irrigation High_mean,CAS evt Irrigation High_mean,CON cwd Irrigation Low_mean,PTS cwd Rain-fed Low_mean,SGC evt Rain-fed Low_mean,CON evt Rain-fed High_mean,SGC cwd Rain-fed Low_mean,RCP cwd Irrigation High_mean,SGC cwd Irrigation High_mean,CAS yld Irrigation Low_mean,CAS evt Rain-fed Low_mean,YAM yld Irrigation Low_mean,YAM cwd Rain-fed Low_mean,PTS yld Rain-fed Low_mean,PTS cwd Irrigation Low_mean,CON yld Rain-fed High_mean,PTS yld Irrigation High_mean,SGC evt Irrigation High_mean,CON evt Rain-fed Low_mean,RCP yld Irrigation High_mean,YAM cwd Irrigation High_mean,YAM evt Irrigation Low_mean,CON cwd Irrigation High_mean,PTS yld Irrigation Low_mean,CON evt Irrigation High_mean,RCP evt Irrigation Low_mean,YAM cwd Irrigation Low_mean,RCP cwd Irrigation Low_mean,CAS yld Irrigation High_mean,RCP evt Rain-fed High_mean,CAS cwd Irrigation High_mean,RCP cwd Rain-fed High_mean,CAS cwd Rain-fed High_mean,SGC cwd Rain-fed High_mean,SGC evt Rain-fed High_mean,CAS cwd Rain-fed Low_mean,YAM yld Rain-fed High_mean,LCType2,LCType5,LCType6,LCType10,geometry
10,10,0,FJI,87.73683656236405,1903.0,11089.0,2689.0,2853.0,11089.0,930.0,518.0,2297.0,1.0,5.0,699.0,882.0,9412.0,567.0,8179.0,3521.0,441.0,9108.0,3490.0,5018.0,1474.0,790.0,626.0,1.0,1.0,2090.0,1.0,534.0,588.0,1005.0,1.0,862.0,518.0,1.0,9844.0,1476.0,49.0,758.0,1.0,1.0,1049.0,893.0,1.0,84.0,135.0,2758.0,786.0,2686.0,1.0,2692.0,1.0,4988.0,9773.0,1004.0,789.0,9357.0,90.0,696.0,1.0,2692.0,777.0,515.0,1.0,1.0,9844.0,508.0,1.0,1.0,47.0,58.0,1193.0,1.0,9054.0,,,,1.0,"POLYGON ((177.33293500000016 -17.916046999999946, 177.3329350000002 -17.82604699999995, 177.24293500000022 -17.82604699999995, 177.2429350000002 -17.916046999999946, 177.33293500000016 -17.916046999999946))"
11,11,0,FJI,87.64969465326188,2813.3333333333335,11170.0,2282.3333333333335,1946.0,11170.0,996.0,542.3333333333334,1968.6666666666667,1.0,1.0,735.3333333333334,981.6666666666666,6632.666666666667,646.3333333333334,7240.666666666667,3548.6666666666665,528.6666666666666,7580.333333333333,3515.0,4191.333333333333,1249.3333333333333,939.6666666666666,681.6666666666666,1.0,1.0,1890.0,1.0,637.3333333333334,661.6666666666666,1056.6666666666667,1.0,910.0,542.3333333333334,1.0,8912.666666666666,1251.3333333333333,1.0,818.3333333333334,1.0,1.0,1108.6666666666667,919.0,1.0,1.0,1.0,1880.0,824.3333333333334,2279.3333333333335,1.0,2064.3333333333335,1.0,4191.333333333333,6632.666666666667,1215.6666666666667,830.0,7371.333333333333,1.0,769.3333333333334,1.0,2064.0,822.3333333333334,539.0,1.0,1.0,8912.666666666666,627.6666666666666,1.0,1.0,1.0,1.0,1324.0,1.0,7580.333333333333,,,2.0,1.0,"POLYGON ((177.4229350000002 -18.096046999999952, 177.42293500000017 -18.006046999999942, 177.33293500000016 -18.006046999999942, 177.3329350000002 -18.096046999999952, 177.4229350000002 -18.096046999999952))"
12,12,0,FJI,87.69337198895055,2171.875,11196.25,2606.125,2502.625,11196.25,930.0,517.5,2142.375,1.0,1.625,696.25,914.75,8643.0,600.0,7944.625,3555.25,466.125,8791.0,3520.75,4789.375,1373.875,840.5,628.375,1.0,1.0,1974.75,1.0,580.0,613.0,1006.25,1.0,862.875,517.25,1.0,9598.5,1375.875,16.0,759.5,1.0,1.0,1047.0,891.375,1.0,36.875,70.0,2418.75,784.5,2603.125,1.0,2473.625,1.0,4780.75,8767.25,1068.375,788.375,8825.125,38.75,701.625,1.0,2473.5,774.5,514.25,1.0,1.0,9598.5,540.75,1.0,1.0,16.25,20.5,1231.75,1.0,8775.625,,,5.0,3.0,"POLYGON ((177.42293500000017 -18.00604699999995, 177.4229350000002 -17.916046999999946, 177.33293500000022 -17.916046999999946, 177.33293500000016 -18.00604699999995, 177.42293500000017 -18.00604699999995))"
13,13,0,FJI,87.73683656238343,1969.8,11092.2,2689.0,2706.0,11092.2,926.8,517.0,2201.2,1.0,1.8,696.8,904.6,9434.6,590.4,8186.6,3521.0,456.8,9110.6,3490.0,4994.6,1455.8,816.6,623.4,1.0,1.0,2017.2,1.0,563.0,602.6,1003.2,1.6,859.4,516.8,1.0,9800.2,1457.8,19.6,754.6,1.0,1.0,1044.6,894.0,1.0,54.4,102.8,2617.4,783.0,2686.0,1.0,2598.8,1.0,4982.4,9613.0,1031.4,786.8,9311.2,59.0,693.0,1.0,2598.8,773.4,513.6,1.0,1.0,9800.2,521.4,1.0,1.0,22.8,29.4,1218.6,1.0,9088.4,,1.0,1.0,3.0,"POLYGON ((177.4229350000002 -17.916046999999946, 177.4229350000002 -17.82604699999995, 177.33293500000022 -17.82604699999995, 177.33293500000022 -17.916046999999946, 177.4229350000002 -17.916046999999946))"
14,14,0,FJI,87.78008828928016,1998.0,11012.333333333334,2669.3333333333335,2684.0,11012.333333333334,940.0,522.3333333333334,2177.0,1.0,1.0,706.3333333333334,919.3333333333334,9520.0,600.3333333333334,8203.666666666666,3495.0,470.3333333333333,9044.333333333334,3464.6666666666665,4986.333333333333,1484.6666666666667,829.6666666666666,632.3333333333334,1.0,1.0,2013.3333333333333,1.0,571.3333333333334,609.6666666666666,1013.0,2.0,868.3333333333334,522.3333333333334,1.0,9775.0,1486.6666666666667,9.0,765.0,1.0,1.0,1056.3333333333333,904.0,1.0,51.333333333333336,103.0,2597.6666666666665,791.3333333333334,2666.3333333333335,1.0,2562.3333333333335,1.0,4980.0,9684.666666666666,1047.3333333333333,795.3333333333334,9299.666666666666,57.666666666666664,703.0,1.0,2562.3333333333335,784.0,519.0,1.0,1.0,9775.0,533.6666666666666,1.0,1.0,17.666666666666668,23.666666666666668,1238.3333333333333,1.0,9032.666666666666,,1.0,,2.0,"POLYGON ((177.4229350000002 -17.826046999999953, 177.42293500000014 -17.73604699999995, 177.33293500000013 -17.73604699999995, 177.33293500000022 -17.826046999999953, 177.4229350000002 -17.826046999999953))"
15,15,0,FJI,87.6058046400303,2828.5,11099.5,2283.5,1939.5,11099.5,983.5,550.5,1962.0,1.0,1.0,740.5,997.0,6608.5,655.5,7311.0,3528.0,550.5,7583.0,3493.5,4161.0,1218.0,928.5,676.0,1.0,1.0,1888.5,1.0,650.0,672.0,1075.0,1.0,931.0,555.0,1.0,8862.5,1219.5,1.0,807.0,1.0,1.0,1127.5,932.0,1.0,1.0,1.0,1872.5,838.5,2280.5,1.0,2074.0,1.0,4161.0,6608.5,1209.5,832.5,7382.5,1.0,753.0,1.0,2074.0,811.0,541.0,1.0,1.0,8862.5,639.0,1.0,1.0,1.0,1.0,1341.5,1.0,7583.0,,,,2.0,"POLYGON ((177.5129350000002 -18.186046999999952, 177.5129350000002 -18.096046999999942, 177.42293500000025 -18.096046999999942, 177.42293500000025 -18.186046999999952, 177.5129350000002 -18.186046999999952))"
16,16,0,FJI,87.6496946532134,2837.75,11147.75,2249.0,1936.25,11147.75,976.25,547.25,1966.0,1.0,1.0,735.25,990.0,6623.75,651.25,7224.75,3543.0,547.25,7466.5,3508.5,4138.25,1244.75,922.0,671.0,1.0,1.0,1899.25,1.0,645.75,667.75,1067.5,1.0,925.75,551.75,1.0,8897.5,1246.25,1.0,800.5,1.0,1.0,1119.75,933.75,1.0,1.0,1.0,1870.25,833.25,2246.0,1.0,2027.25,1.0,4138.25,6623.75,1200.25,828.5,7291.75,1.0,748.0,1.0,2027.0,804.75,538.0,1.0,1.0,8897.5,641.0,1.0,1.0,1.0,1.0,1331.5,1.0,7466.5,,,1.0,3.0,"POLYGON ((177.5129350000002 -18.096046999999952, 177.51293500000017 -18.006046999999942, 177.42293500000022 -18.006046999999942, 177.42293500000025 -18.096046999999952, 177.5129350000002 -18.096046999999952))"
17,17,0,FJI,87.69337198893118,2292.0,11300.333333333334,2569.3333333333335,2282.6666666666665,11300.333333333334,909.1666666666666,514.6666666666666,2061.5,1.0,1.0,577.6666666666666,923.0,8089.5,609.8333333333334,7782.0,3580.6666666666665,483.8333333333333,8667.833333333334,3536.1666666666665,4596.166666666667,1099.0,852.8333333333334,616.1666666666666,1.0,1.0,1919.5,0.8333333333333334,603.5,622.3333333333334,997.8333333333334,1.0,858.5,514.1666666666666,1.0,9458.166666666666,1100.5,1.0,736.1666666666666,0.8333333333333334,1.0,1036.3333333333333,893.3333333333334,1.0,8.166666666666666,30.166666666666668,2202.6666666666665,776.8333333333334,2566.0,1.0,2381.8333333333335,1.0,4596.166666666667,8089.666666666667,1080.0,655.6666666666666,8517.833333333334,7.333333333333333,692.1666666666666,1.0,2381.6666666666665,745.3333333333334,510.8333333333333,1.0,1.0,9458.166666666666,556.8333333333334,1.0,1.0,1.0,1.0,1238.1666666666667,1.0,8667.833333333334,,,4.0,2.0,"POLYGON ((177.51293500000017 -18.00604699999995, 177.51293500000017 -17.916046999999946, 177.42293500000022 -17.916046999999946, 177.42293500000022 -18.00604699999995, 177.51293500000017 -18.00604699999995))"
18,18,0,FJI,87.73683656235434,2014.5,11233.0,2717.5,2506.5,11233.0,900.75,508.75,2116.0,1.0,1.0,517.0,904.75,9096.5,598.0,8139.0,3553.25,464.0,9227.5,3509.0,4880.5,1073.5,826.75,605.75,1.0,1.0,1946.5,0.75,582.5,607.75,982.0,1.0,841.5,506.25,1.0,9747.0,1075.0,1.25,724.25,0.75,1.0,1018.75,888.0,1.0,23.25,63.5,2420.25,765.0,2714.0,1.0,2563.5,1.0,4880.0,9138.5,1031.5,585.25,9220.75,25.5,683.25,1.0,2563.5,736.0,508.0,1.0,1.0,9747.0,521.25,1.0,1.0,4.25,5.75,1214.0,1.0,9226.25,,1.0,2.0,1.0,"POLYGON ((177.51293500000017 -17.916046999999946, 177.51293500000017 -17.82604699999995, 177.42293500000025 -17.82604699999995, 177.42293500000022 -17.916046999999946, 177.51293500000017 -17.916046999999946))"
19,19,0,FJI,87.78008828924133,2017.75,11141.0,2699.0,2540.0,11141.0,917.75,512.25,2120.75,1.0,1.0,689.5,914.25,9289.75,602.75,8168.75,3535.5,471.75,9149.75,3495.0,4954.25,1406.5,832.5,617.25,1.0,1.0,1962.0,1.0,581.5,612.75,994.5,1.0,852.75,512.25,1.0,9763.25,1408.75,1.5,738.0,1.0,1.0,1034.5,900.25,1.0,31.5,78.5,2456.0,776.0,2695.5,1.0,2550.25,1.0,4953.5,9363.75,1037.5,780.0,9248.75,35.25,696.5,1.0,2550.25,750.0,510.25,1.0,1.0,9763.25,531.0,1.0,1.0,6.75,9.25,1228.75,1.0,9148.25,,1.0,1.0,2.0,"POLYGON ((177.51293500000017 -17.826046999999953, 177.51293500000017 -17.73604699999995, 177.42293500000025 -17.73604699999995, 177.42293500000025 -17.826046999999953, 177.51293500000017 -17.826046999999953))"
20,20,0,FJI,87.82312708570551,2028.25,11191.0,2710.75,2509.75,11191.0,912.0,509.25,2112.25,1.0,1.0,685.5,910.0,9131.25,598.5,8146.5,3550.75,466.75,9189.5,3510.5,4961.75,1387.5,830.0,613.25,1.0,1.0,1950.5,1.0,580.0,611.25,989.0,1.0,848.0,509.25,1.0,9745.0,1389.75,2.25,733.25,1.0,1.0,1028.0,894.5,1.0,29.0,74.75,2427.75,771.25,2707.25,1.0,2555.5,1.0,4961.5,9189.25,1034.25,775.25,9213.25,32.75,692.75,1.0,2555.75,745.75,507.0,1.0,1.0,9745.0,530.0,1.0,1.0,5.25,7.0,1223.25,1.0,9189.25,,,2.0,2.0,"POLYGON ((177.51293500000017 -17.73604699999995, 177.51293500000023 -17.646046999999946, 177.42293500000022 -17.646046999999946, 177.42293500000025 -17.73604699999995, 177.51293500000017 -17.73604699999995))"
21,21,0,FJI,87.86595286832252,2040.3333333333333,11162.333333333334,2704.6666666666665,2495.3333333333335,11162.333333333334,918.6666666666666,515.0,2105.3333333333335,1.0,1.0,690.0,913.6666666666666,9127.666666666666,599.6666666666666,8114.0,3541.3333333333335,471.0,9164.666666666666,3510.6666666666665,5029.333333333333,1428.3333333333333,830.0,617.6666666666666,1.0,1.0,1949.3333333333333,1.0,577.3333333333334,615.3333333333334,993.3333333333334,1.0,851.6666666666666,511.6666666666667,1.0,9731.333333333334,1430.3333333333333,2.3333333333333335,735.3333333333334,1.0,1.0,1033.3333333333333,895.3333333333334,1.0,34.333333333333336,85.33333333333333,2417.0,774.6666666666666,2701.6666666666665,1.0,2549.6666666666665,1.0,5027.333333333333,9187.666666666666,1029.3333333333333,778.6666666666666,9200.0,39.666666666666664,701.3333333333334,1.0,2550.0,746.3333333333334,509.3333333333333,1.0,1.0,9731.333333333334,522.6666666666666,1.0,1.0,6.0,7.666666666666667,1229.0,1.0,9161.0,,,1.0,2.0,"POLYGON ((177.51293500000023 -17.646046999999946, 177.5129350000002 -17.556046999999946, 177.42293500000025 -17.556046999999946, 177.42293500000022 -17.646046999999946, 177.51293500000023 -17.646046999999946))"
22,22,0,FJI,87.60580464007876,2862.5,11140.5,2204.5,1925.5,11140.5,952.5,550.5,1965.0,1.0,1.0,732.5,995.5,6623.0,654.5,7173.0,3542.0,552.5,7316.5,3506.0,4083.5,1256.0,900.5,657.5,1.0,1.0,1905.0,1.0,652.5,672.0,1075.5,1.0,938.5,559.5,1.0,8891.5,1257.0,1.0,779.5,1.0,1.0,1124.0,953.0,1.0,1.0,1.0,1858.5,840.0,2201.5,1.0,1976.0,1.0,4083.5,6623.0,1180.5,822.0,7185.5,1.0,723.5,1.0,1976.0,784.0,535.5,1.0,1.0,8891.5,647.0,1.0,1.0,1.0,1.0,1334.0,1.0,7316.5,,,1.0,1.0,"POLYGON ((177.60293500000017 -18.186046999999952, 177.60293500000014 -18.096046999999942, 177.5129350000002 -18.096046999999942, 177.5129350000002 -18.186046999999952, 177.60293500000017 -18.186046999999952))"
23,23,0,FJI,87.64969465327155,2872.5,11173.5,2178.0,1922.5,11173.5,948.25,548.5,1967.5,1.0,1.0,729.5,991.0,6632.0,651.75,7106.25,3552.0,550.5,7227.5,3516.25,4060.5,1271.0,896.75,654.75,1.0,1.0,1907.5,1.0,649.75,669.25,1070.75,1.0,935.25,557.5,1.0,8916.0,1272.0,1.0,775.5,1.0,1.0,1119.25,948.75,1.0,1.0,1.0,1856.5,836.5,2175.25,1.0,1940.5,1.0,4060.5,6632.0,1174.75,820.0,7114.75,1.0,720.75,1.0,1940.5,780.25,533.5,1.0,1.0,8916.0,650.5,1.0,1.0,1.0,1.0,1327.75,1.0,7227.5,,,1.0,3.0,"POLYGON ((177.60293500000014 -18.096046999999952, 177.60293500000017 -18.006046999999942, 177.51293500000017 -18.006046999999942, 177.5129350000002 -18.096046999999952, 177.60293500000014 -18.096046999999952))"
