domain,metric,observed,modeled,tolerance,forcing_class,phase,weight,year,period,region,unit,source,constraint_refs,notes
energy,wind generation,0.093,0.1388888888888889,1.0,H,calibration,0.05,2022,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,total grid supply,1081.461,1081.4722222222222,0.01,J,calibration,0.1,2022,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,renewable share,62.10672414446753,54.9996147227288,0.1,E,calibration,1.5,2022,annual,Fiji national grid-supply aggregate,percent,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,biomass ipp generation,76.115,66.47222222222223,0.2,E,validation,1.0,2023,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,hydro generation,539.258,526.3333333333334,0.15,E,validation,1.5,2023,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,thermal generation,505.547,528.0277777777778,0.2,E,validation,1.5,2023,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,wind generation,0.062,0.1388888888888889,1.0,E,validation,0.05,2023,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,total grid supply,1120.982,1120.9722222222224,0.01,J,validation,0.1,2023,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,renewable share,54.90141679349,52.89555197621113,0.1,E,validation,1.5,2023,annual,Fiji national grid-supply aggregate,percent,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,biomass ipp generation,63.799,60.527777777777786,0.2,E,validation,1.0,2024,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,hydro generation,630.506,526.3333333333334,0.15,E,validation,1.5,2024,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,thermal generation,523.752,631.8888888888888,0.2,E,validation,1.5,2024,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,wind generation,0.718,0.1388888888888889,1.0,E,validation,0.05,2024,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,total grid supply,1218.906,1218.888888888889,0.01,J,validation,0.1,2024,annual,Fiji national grid-supply aggregate,GWh,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,renewable share,57.030976958026294,48.15861440291706,0.1,E,validation,1.5,2024,annual,Fiji national grid-supply aggregate,percent,DS-EFL-AR-2024,SpecifiedAnnualDemand; ResidualCapacity; AvailabilityFactor; CapacityFactor; TotalAnnualMaxCapacityInvestment,Total supply is a supplied J boundary and earns no demand-reproduction claim. Calibration-period IPP/biomass and wind availabilities use the same period and are H. The 2023-2024 outputs use parameters frozen before validation.
energy,hydro installed capacity,133.4,133.4,0.02,J,calibration,0.25,2021,year end / reported installed fleet,Fiji national grid-supply aggregate,MW,DS-FJI-REI-IP,ResidualCapacity,Observed installed stock is a justified exogenous initial condition; it is not endogenous reproduction.
energy,thermal installed capacity,182.0,182.0,0.02,J,calibration,0.25,2021,year end / reported installed fleet,Fiji national grid-supply aggregate,MW,DS-FJI-REI-IP,ResidualCapacity,Observed installed stock is a justified exogenous initial condition; it is not endogenous reproduction.
energy,wind installed capacity,9.8,9.8,0.02,J,calibration,0.25,2021,year end / reported installed fleet,Fiji national grid-supply aggregate,MW,DS-FJI-REI-IP,ResidualCapacity,Observed installed stock is a justified exogenous initial condition; it is not endogenous reproduction.
energy,biomass ipp installed capacity,34.0,34.0,0.02,J,calibration,0.25,2021,year end / reported installed fleet,Fiji national grid-supply aggregate,MW,DS-FJI-REI-IP,ResidualCapacity,Observed installed stock is a justified exogenous initial condition; it is not endogenous reproduction.
