commodity,commodity_id,description,unit,role,balance_status,producers,producer_modes,consumers,consumer_modes,positive_demand_years,specified_demand_2020_2024,accumulated_demand_2020_2024,trade_or_storage_links,solved_production_2020_2024,solved_use_2020_2024,active_linked_technologies_2020_2024,active_producers_2020_2024,active_consumers_2020_2024,warning_codes,proposed_disposition,evidence_or_assumption_ids
CRPCON,COM_u8mne,Default commodity,PJ,service,connected,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,10;3;8;9,,,2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050,0,0.10896451327,,0.109,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,LNDAGRFJIC04,,,"Retain; verify units, balance role and historical activity.",DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
CRPOTH,COM_hqpyh,Default commodity,PJ,service,connected,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,17;18;19;20,,,2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050,0,0.314400832122,,0.3144,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,LNDAGRFJIC01,,,"Retain; verify units, balance role and historical activity.",DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
CRPSGC,COM_lann1,Default commodity,PJ,service,connected,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,15;16;6;7,,,2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050,0,8.67514241119,,8.675,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,LNDAGRFJIC01,,,"Retain; verify units, balance role and historical activity.",DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
CRPYAM,COM_kdi0c,Default commodity,PJ,service,connected,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,1;12;14;2,,,2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050,0,0.270878054789,,0.271,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,LNDAGRFJIC04,,,"Retain; verify units, balance role and historical activity.",DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
CRU,COM_f4por,Default commodity,PJ,resource,connected,IMPCRU;MINCRU,1,EXPCRU,1,,0,0,EXPCRU;IMPCRU,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
CSPFJIXX,COM_xpkia,Default commodity,PJ,resource,connected,RNWCSPFJIXX,1,PWRCSPFJIXX01,1,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
DSL,COM_eev5t,Default commodity,PJ,intermediate,connected,IMPDSL,1,DEMAGRDSL;DEMCOMDSL;DEMINDDSL;DEMTRADSL,1,,0,0,IMPDSL,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
ELCFJIXX01,COM_a3p24,Default commodity,PJ,intermediate,connected,PWRBCKFJIXX;PWRBIOFJIXX01;PWRCCGFJIXX00;PWRCCGFJIXX01;PWRCCSFJIXX01;PWRCOAFJIXX01;PWRCOGFJIXX01;PWRCSPFJIXX01;PWRGEOFJIXX01;PWRHYDFJIXX01;PWROCGFJIXX00;PWROCGFJIXX01;PWROILFJIXX01;PWROTHFJIXX01;PWRPETFJIXX01;PWRSPVFJIXX01;PWRURNFJIXX01;PWRWASFJIXX01;PWRWAVFJIXX01;PWRWOFFJIXX01;PWRWONFJIXX01,1;2,PWRTRNFJIXX,1,,0,0,,19.2045,19.205,PWRBIOFJIXX01;PWRHYDFJIXX01;PWROILFJIXX01;PWRTRNFJIXX;PWRWONFJIXX01,PWRBIOFJIXX01;PWRHYDFJIXX01;PWROILFJIXX01;PWRWONFJIXX01,PWRTRNFJIXX,,"Retain; verify units, balance role and historical activity.",DS-EFL-AR-2024;DS-FJI-REI-IP;M-V2-01
ELCFJIXX02,COM_3drm3,Default commodity,PJ,service,connected,PWRTRNFJIXX,1,DEMAGRELCFJIXX02;DEMCOMELCFJIXX02;DEMINDELCFJIXX02;DEMRESELCFJIXX02;DEMTRAELCFJIXX02,1,2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050,19.2050604,0,,19.205,0,PWRTRNFJIXX,PWRTRNFJIXX,,,"Retain; verify units, balance role and historical activity.",DS-EFL-AR-2024;DS-FJI-REI-IP;M-V2-01
GASFJI,COM_xlqus,Default commodity,PJ,resource,connected,MINGASFJI,1,PWRCCGFJIXX00;PWRCCGFJIXX01;PWROCGFJIXX00;PWROCGFJIXX01,1,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
GASINT,COM_mga07,Default commodity,PJ,resource,connected,MINGASINT,1,PWRCCGFJIXX00;PWRCCGFJIXX01;PWROCGFJIXX00;PWROCGFJIXX01,2,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
GEO,COM_maqmd,Default commodity,PJ,resource,produced_unconsumed_undemanded,RNWGEO,1,,,,0,0,,0,0,,,,output_only_resource_carrier;produced_unconsumed_undemanded,Phase 1D: represent availability or potential; do not add final demand solely to remove a topology warning.,DS-OSEMOSYS-GLOBAL;A-ENE-02
GEOFJIXX,COM_lqioj,Default commodity,PJ,resource,connected,RNWGEOFJIXX,1,PWRGEOFJIXX01,1,,0,0,,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
GSL,COM_ccvwm,Default commodity,PJ,intermediate,connected,IMPGSL,1,DEMTRAGSL;EXPGSL,1,,0,0,EXPGSL;IMPGSL,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
HFO,COM_x6igb,Default commodity,PJ,resource,connected,IMPHFO,1,DEMINDHFO;DEMTRAHFO;EXPHFO,1,,0,0,EXPHFO;IMPHFO,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
HYD,COM_sxifc,Default commodity,PJ,resource,produced_unconsumed_undemanded,RNWHYD,1,,,,0,0,,0,0,,,,output_only_resource_carrier;produced_unconsumed_undemanded,Phase 1D: represent availability or potential; do not add final demand solely to remove a topology warning.,DS-OSEMOSYS-GLOBAL;A-ENE-02
HYDFJIXX,COM_vuyjc,Default commodity,PJ,resource,connected,RNWHYDFJIXX,1,PWRHYDFJIXX01,1,,0,0,,9.4735,9.4735,PWRHYDFJIXX01;RNWHYDFJIXX,RNWHYDFJIXX,PWRHYDFJIXX01,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
INDBIO,COM_5rm8g,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMINDBIO,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
INDCOA,COM_ksawb,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMINDCOA,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
INDDSL,COM_wi8wz,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMINDDSL,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
INDELCFJIXX02,COM_9ek33,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMINDELCFJIXX02,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
INDHFO,COM_oys29,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMINDHFO,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
INDKER,COM_moowh,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMINDKER,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
INDLPG,COM_p5gx7,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMINDLPG,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
INDNGS,COM_kj0ed,Default commodity,PJ,service,produced_unconsumed_undemanded,DEMINDNGS,1,,,,0,0,,0,0,,,,produced_unconsumed_undemanded,Phase 1C: retain as a final-energy intermediate and connect it to an evidenced useful-service conversion; quarantine when evidence is absent.,DS-UNSD-ENERGY-FJI;A-ENE-01
KER,COM_5jlc9,Default commodity,PJ,intermediate,connected,IMPKER,1,DEMCOMKER;DEMINDKER;DEMRESKER;DEMTRAKER;EXPKER,1,,0,0,EXPKER;IMPKER,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-OSEMOSYS-GLOBAL;A-RAW-01
LBARTOT,COM_h2ei2,Default commodity,PJ,stock,connected,LNDBARTOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,21,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LBLTTOT,COM_z79nx,Default commodity,PJ,stock,connected,LNDBLTTOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,22,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LCASHITOT,COM_an1ks,Default commodity,PJ,stock,connected,LNDCASHITOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,4,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LCASHRTOT,COM_g8fgy,Default commodity,PJ,stock,connected,LNDCASHRTOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,11,,0,0,,0.3688,0.3688,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04;LNDCASHRTOT,LNDCASHRTOT,LNDAGRFJIC01,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LCASLITOT,COM_dd9nf,Default commodity,PJ,stock,connected,LNDCASLITOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,13,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LCASLRTOT,COM_p1jsv,Default commodity,PJ,stock,connected,LNDCASLRTOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,5,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LCONHITOT,COM_0x4z1,Default commodity,PJ,stock,connected,LNDCONHITOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,9,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LCONHRTOT,COM_5mchc,Default commodity,PJ,stock,connected,LNDCONHRTOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,8,,0,0,,0.2222,0.2222,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04;LNDCONHRTOT,LNDCONHRTOT,LNDAGRFJIC04,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LCONLITOT,COM_5la8v,Default commodity,PJ,stock,connected,LNDCONLITOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,10,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LCONLRTOT,COM_s40pd,Default commodity,PJ,stock,connected,LNDCONLRTOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,3,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LFORTOT,COM_ykwq7,Default commodity,PJ,stock,connected,LNDFORTOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,23,,0,0,,82.2476,82.2474,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04;LNDFORTOT,LNDFORTOT,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LGRSTOT,COM_619qy,Default commodity,PJ,stock,connected,LNDGRSTOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,24,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LOTHHITOT,COM_ddd0g,Default commodity,PJ,stock,connected,LNDOTHHITOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,18,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LOTHHRTOT,COM_ms78x,Default commodity,PJ,stock,connected,LNDOTHHRTOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,20,,0,0,,0.3418,0.3418,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04;LNDOTHHRTOT,LNDOTHHRTOT,LNDAGRFJIC01,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LOTHLITOT,COM_9mkvu,Default commodity,PJ,stock,connected,LNDOTHLITOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,17,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LOTHLRTOT,COM_dhprq,Default commodity,PJ,stock,connected,LNDOTHLRTOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,19,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LOTHTOT,COM_rzrfa,Default commodity,PJ,stock,connected,LNDOTHTOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,25,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LPG,COM_eb7ry,Default commodity,PJ,resource,connected,IMPLPG,1,DEMCOMLPG;DEMINDLPG;DEMRESLPG,1,,0,0,IMPLPG,0,0,,,,,"Retain; verify units, balance role and historical activity.",DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LSGCHITOT,COM_16wi8,Default commodity,PJ,stock,connected,LNDSGCHITOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,6,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LSGCHRTOT,COM_jwr30,Default commodity,PJ,stock,connected,LNDSGCHRTOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,15,,0,0,,7.8868,7.8868,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04;LNDSGCHRTOT,LNDSGCHRTOT,LNDAGRFJIC01,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LSGCLITOT,COM_cm2n7,Default commodity,PJ,stock,connected,LNDSGCLITOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,7,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
LSGCLRTOT,COM_9e4ts,Default commodity,PJ,stock,connected,LNDSGCLRTOT,1,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,16,,0,0,,0,0,LNDAGRFJIC01;LNDAGRFJIC02;LNDAGRFJIC03;LNDAGRFJIC04,,,,Phase 1D: preserve the physical land/state role and validate its accounting; do not add arbitrary demand.,DS-GAEZ-V4-LANDCOVER;DS-GAEZ-V4-YIELD;M-LAW-01
