model_file,role,lineage_status,primary_evidence_ids,live_path
fisheries_v27_manifest.json,audit/supporting record,current or inherited source/validation support,SRC_FIJI_V28_SOLVED,WebAPP/DataStorage/Fiji_v2.9/fisheries_v27_manifest.json
genData.json,active source parameter,specific v2.8/v2.9 overlays plus inherited baseline,SRC_FIJI_V28_SOLVED CALC_CROP_V28_FINAL_DEMAND CALC_CROP_V28_IMPORT_FLOOR CALC_FISH_V29_FINAL_DEMAND CALC_FISH_V29_IMPORT_FLOOR,WebAPP/DataStorage/Fiji_v2.9/genData.json
land_allocation_2020.json,audit/supporting record,current or inherited source/validation support,SRC_FIJI_V28_SOLVED,WebAPP/DataStorage/Fiji_v2.9/land_allocation_2020.json
national_land_manifest.json,audit/supporting record,current or inherited source/validation support,SRC_FIJI_V28_SOLVED,WebAPP/DataStorage/Fiji_v2.9/national_land_manifest.json
phase1f_thermal_fuel_cost.json,audit/supporting record,current or inherited source/validation support,SRC_FIJI_V28_SOLVED,WebAPP/DataStorage/Fiji_v2.9/phase1f_thermal_fuel_cost.json
phase1g_crop_land.json,audit/supporting record,current or inherited source/validation support,SRC_FIJI_V28_SOLVED,WebAPP/DataStorage/Fiji_v2.9/phase1g_crop_land.json
phase1h_road_transport.json,audit/supporting record,current or inherited source/validation support,SRC_FIJI_V28_SOLVED,WebAPP/DataStorage/Fiji_v2.9/phase1h_road_transport.json
phase1i_petroleum_accounting.json,audit/supporting record,current or inherited source/validation support,SRC_FIJI_V28_SOLVED,WebAPP/DataStorage/Fiji_v2.9/phase1i_petroleum_accounting.json
phase1j_public_data.json,audit/supporting record,current or inherited source/validation support,SRC_FIJI_V28_SOLVED,WebAPP/DataStorage/Fiji_v2.9/phase1j_public_data.json
phase1k_promotion.json,audit/supporting record,current or inherited source/validation support,SRC_FIJI_V28_SOLVED,WebAPP/DataStorage/Fiji_v2.9/phase1k_promotion.json
phase1k_topology_cleanup.json,audit/supporting record,current or inherited source/validation support,SRC_FIJI_V28_SOLVED,WebAPP/DataStorage/Fiji_v2.9/phase1k_topology_cleanup.json
population_crop_trade_v28_manifest.json,audit/supporting record,current or inherited source/validation support,CALC_CROP_V28_SOLVER_VALIDATION,WebAPP/DataStorage/Fiji_v2.9/population_crop_trade_v28_manifest.json
population_fisheries_trade_v29_manifest.json,audit/supporting record,current or inherited source/validation support,CALC_FISH_V29_SOLVER_VALIDATION,WebAPP/DataStorage/Fiji_v2.9/population_fisheries_trade_v29_manifest.json
precipitation_ssp245_manifest.json,audit/supporting record,current or inherited source/validation support,SRC_FIJI_V28_SOLVED,WebAPP/DataStorage/Fiji_v2.9/precipitation_ssp245_manifest.json
precipitation_ssp245_source.json,audit/supporting record,current or inherited source/validation support,SRC_FIJI_V28_SOLVED,WebAPP/DataStorage/Fiji_v2.9/precipitation_ssp245_source.json
reserve_margin_proxy.json,audit/supporting record,current or inherited source/validation support,SRC_FIJI_V28_SOLVED,WebAPP/DataStorage/Fiji_v2.9/reserve_margin_proxy.json
validation_national_land.json,audit/supporting record,current or inherited source/validation support,SRC_FIJI_V28_SOLVED,WebAPP/DataStorage/Fiji_v2.9/validation_national_land.json
validation_population_crop_trade_v28_final.json,audit/supporting record,current or inherited source/validation support,CALC_CROP_V28_SOLVER_VALIDATION,WebAPP/DataStorage/Fiji_v2.9/validation_population_crop_trade_v28_final.json
validation_population_crop_trade_v28_generated.json,audit/supporting record,current or inherited source/validation support,CALC_CROP_V28_SOLVER_VALIDATION,WebAPP/DataStorage/Fiji_v2.9/validation_population_crop_trade_v28_generated.json
validation_population_crop_trade_v28_live_solve.json,audit/supporting record,current or inherited source/validation support,CALC_CROP_V28_SOLVER_VALIDATION,WebAPP/DataStorage/Fiji_v2.9/validation_population_crop_trade_v28_live_solve.json
validation_population_crop_trade_v28_source.json,audit/supporting record,current or inherited source/validation support,CALC_CROP_V28_SOLVER_VALIDATION,WebAPP/DataStorage/Fiji_v2.9/validation_population_crop_trade_v28_source.json
validation_population_fisheries_trade_v29_final.json,audit/supporting record,current or inherited source/validation support,CALC_FISH_V29_SOLVER_VALIDATION,WebAPP/DataStorage/Fiji_v2.9/validation_population_fisheries_trade_v29_final.json
validation_population_fisheries_trade_v29_live_design.json,audit/supporting record,current or inherited source/validation support,CALC_FISH_V29_SOLVER_VALIDATION,WebAPP/DataStorage/Fiji_v2.9/validation_population_fisheries_trade_v29_live_design.json
validation_population_fisheries_trade_v29_live_generated_design.json,audit/supporting record,current or inherited source/validation support,CALC_FISH_V29_SOLVER_VALIDATION,WebAPP/DataStorage/Fiji_v2.9/validation_population_fisheries_trade_v29_live_generated_design.json
validation_population_fisheries_trade_v29_live_solve.json,audit/supporting record,current or inherited source/validation support,CALC_FISH_V29_SOLVER_VALIDATION,WebAPP/DataStorage/Fiji_v2.9/validation_population_fisheries_trade_v29_live_solve.json
validation_ssp245_disposable.json,audit/supporting record,current or inherited source/validation support,SRC_FIJI_V28_SOLVED,WebAPP/DataStorage/Fiji_v2.9/validation_ssp245_disposable.json
validation_ssp245_live.json,audit/supporting record,current or inherited source/validation support,SRC_FIJI_V28_SOLVED,WebAPP/DataStorage/Fiji_v2.9/validation_ssp245_live.json
