source_id,provider,product,edition,reference_period,geography,variable,source_unit,exact_locator,url,access_date,license,sha256,notes
SRC_UNSD_ENERGY,United Nations Statistics Division,UNSD Energy Statistics Database,API extract prepared 2026-07-29,2020-2024,Fiji,Road and sectoral petroleum quantities by product and transaction,10^3 tonne,"Area=Fiji; products 4630,4651,4652,4661,4669,4670,4680; transactions 121,1221,1222,1223,1224,1231,1232,1235; OBS_STATUS retained",https://unstats.un.org/unsd/energystats/dataPortal/,2026-07-31,UN data terms,,
SRC_UNSD_DSD,United Nations Statistics Division,UNSD Energy DSD Matrix,matrix used 2026-07-29,current definitions,Fiji,"Product, transaction, observation-status and conversion-factor definitions",code definitions; GJ/tonne,UNSD_Energy_DSD_Matrix.xlsm product and transaction sheets cited by phase1h/phase1i,https://unstats.un.org/unsd/energystats/,2026-07-31,UN data terms,,
SRC_FIJI_ENERGY_ACCOUNT,Fiji Bureau of Statistics,Fiji Experimental Environmental Account for Energy 2023,2023,2023,Fiji,National energy-account cross-check,mixed energy units,Fiji_Experimental_Environmental_Account_for_Energy_2023.pdf; national energy supply/use tables,https://www.statsfiji.gov.fj/,2026-07-31,Government publication,,
SRC_FIJI_GHG_NIR,Government of Fiji / UNFCCC,Fiji GHG National Inventory Report 2023,2023,inventory years reported in document,Fiji,Fuel CO2 emission-factor and inventory-boundary cross-check,Mt CO2; factor,Fiji_GHG_NIR_2023_Final.pdf; energy-sector methods and factors,https://unfccc.int/documents,2026-07-31,Government/UNFCCC publication,,
SRC_FIJI_IMTS,Fiji Bureau of Statistics,International Merchandise Trade Statistics Annual 2024,2024,2024,Fiji,Petroleum-import cross-check,trade quantity/value,Fiji_IMTS_Annual_2024.pdf; petroleum import tables,https://www.statsfiji.gov.fj/,2026-07-31,Government publication,,
SRC_FIJI_LEDS,Government of Fiji,Fiji Low Emission Development Strategy 2018-2050,2018,2018-2050,Fiji,Transport and energy scenario context,scenario narrative and indicators,Fiji_LEDS_2018_2050.pdf; transport and energy chapters,https://unfccc.int/sites/default/files/resource/Fiji_Low%20Emission%20Development%20Strategy%202018-2050.pdf,2026-07-31,Government publication,,
SRC_FIJI_PHASE1J,UN DESA / EAPD-DRB,Fiji Phase 1J public-data ledger,v2.4.0,2020-2050,Fiji,"Service definitions, engineering efficiencies, growth, fuel-price proxies and adoption caps",mixed model units,"WebAPP/DataStorage/Fiji_v2.6/phase1j_public_data.json; services, fuel_price_proxies, adoption_caps and forcing_boundary",https://github.com/EAPD-DRB/MUIOGO/blob/main/WebAPP/DataStorage/Fiji_v2.6/phase1j_public_data.json,2026-07-31,Repository license,,
SRC_NAMIBIA_LAND_PATTERN,UN DESA / EAPD-DRB,NamibiaCLEWs land-account structure,repository benchmark,model structure,Fiji,One technology per land type with one operating mode,structural pattern,WebAPP/DataStorage/NamibiaCLEWs land technologies and associated parameter files,https://github.com/EAPD-DRB/MUIOGO/tree/main/WebAPP/DataStorage/NamibiaCLEWs,2026-07-31,Repository license,,
SRC_FIJI_V26_VALIDATION,UN DESA / EAPD-DRB,Fiji v2.6 national land validation report,2026-07-31,2020-2050,Fiji,"Deterministic equations, generated matrix, CBC solve and result identity",status; objective; residual,WebAPP/DataStorage/Fiji_v2.6/validation_national_land.json; status=PASSED,https://github.com/EAPD-DRB/MUIOGO/blob/main/WebAPP/DataStorage/Fiji_v2.6/validation_national_land.json,2026-07-31,Repository license,,
SRC_WB_CCKP_CMIP6_FJI_PR,World Bank,Climate Change Knowledge Portal CMIP6 0.25-degree ensemble climatology,CMIP6 country aggregation,1995-2014; 2020-2039; 2040-2059,Fiji,Annual precipitation climatology and anomaly under SSP2-4.5,mm/year,scripts/data/fiji_v26_precipitation_ssp245.json; API paths for historical median and future p10/median/p90 annual anomalies,https://climateknowledgeportal.worldbank.org/download-data,2026-07-31,World Bank data terms,,Historical median 2274.78 mm/year; median anomalies -39.88 mm/year for 2020-2039 and -37.53 mm/year for 2040-2059.
SRC_COPERNICUS_CMIP6_SCENARIOS,European Centre for Medium-Range Weather Forecasts / Copernicus Climate Change Service,CMIP6 global climate projections documentation,current documentation,CMIP6 scenario definitions,Global,SSP2-4.5 comparability to CMIP5 RCP4.5,W/m2 forcing level,Scenario description for SSP2-4.5,https://confluence.ecmwf.int/display/CKB/CMIP6%253A%2BGlobal%2Bclimate%2Bprojections,2026-07-31,Copernicus terms,,SSP2-4.5 is the requested RCP4.5-equivalent pathway.
SRC_FMS_FIJI_CLIMATE_PROJECTIONS,Fiji Meteorological Service / Pacific Climate Change Science Program,Current and future climate of Fiji,country report,2030; 2055; 2090,Fiji,Rainfall projection context and confidence,percent change,Country report rainfall projections and uncertainty discussion,https://www.met.gov.fj/media/documents/Country_Report_Fiji_ul6cujP.pdf,2026-07-31,Fiji Government publication,,Contextual cross-check only; the report emphasizes wide model ranges and low confidence in rainfall change.
SRC_FIJI_V26_SSP245_VALIDATION,UN DESA / EAPD-DRB,Fiji v2.6 SSP2-4.5 precipitation validation report,2026-07-31,2020-2050,Fiji,"Source diff, application generation, GLPK matrix check, CBC solves, precipitation balance and ENV_WATER equality",status; objective; residual,WebAPP/DataStorage/Fiji_v2.6/validation_ssp245_live.json; status=PASSED,https://github.com/EAPD-DRB/MUIOGO/blob/main/WebAPP/DataStorage/Fiji_v2.6/validation_ssp245_live.json,2026-07-31,Repository license,,Live report is generated after promotion; the disposable precursor is retained as validation_ssp245_disposable.json.
SRC_FSH_FIJI_MOF_AR2020_21,Fiji Ministry of Fisheries,Annual Report 2020-2021,2020-2021,2020-2021,Fiji,"Offshore/coastal catch, aquaculture harvest, ice, processing establishments, fleet and solar freezers",metric tonne; kg; count,"PDF pp. 7-8, 19, 24-25, 28 and 31",https://www.parliament.gov.fj/wp-content/uploads/2023/02/Ministry-of-Fisheries-Annual-Report-2020%E2%80%932021.pdf,2026-08-03,Public government report,,Primary national Fisheries source; observations are initial conditions or benchmarks.
SRC_FSH_FIJI_SDP2019_29,Fiji Ministry of Fisheries,Strategic Development Plan 2019-2029,2019-2029,2019-2029,Fiji,Aquaculture production goals,metric tonne/year,PDF pp. 7 and 10,https://faolex.fao.org/docs/pdf/fij219830.pdf,2026-08-03,Public government plan,,Policy goals are benchmark-only.
SRC_FSH_FIJI_POLICY2024_28,Fiji Ministry of Fisheries,National Fisheries Policy 2024-2028,2024-2028,2024-2028,Fiji,"Fisheries scope, sustainability and value-chain context",policy statements,Scope and strategic-priority sections,https://faolex.fao.org/docs/pdf/fij235926.pdf,2026-08-03,Public government policy,,No numeric trajectory is taken from this source.
SRC_FSH_FAO_FUEL,FAO,Fuel and Financial Savings for Operators of Small Fishing Vessels,archival excerpt,historical international proxy,International,Coastal and longline fuel intensity,tonne fuel/tonne catch,Table 1,https://www.fao.org/4/ab742e/AB742E02.htm,2026-08-03,FAO public web publication,,Grade-C non-Fiji engineering proxy; sensitivity required.
SRC_FSH_FAO_PROCESS,FAO,Energy Efficiency in Fish Processing,archival excerpt,international engineering proxy,International,Frozen fish energy and process-water intensity,kWh/kg; m3/tonne,Table 2.16 and Example 2.16,https://www.fao.org/4/V8490E/v8490e04.htm,2026-08-03,FAO public web publication,,Grade-C proxy including refrigerated storage.
SRC_FSH_FAO_ICE,FAO,Ice in Fisheries,archival excerpt,international engineering proxy,Tropics,Ice-machine energy intensity,kWh/tonne,Energy requirements section,https://www.fao.org/4/T0713S/T0713S06.htm,2026-08-03,FAO public web publication,,Cross-check only to avoid duplicating refrigeration energy.
SRC_FSH_UNSD_DSD,United Nations Statistics Division,Energy Statistics Database Fiji diesel parameters,repository evidence extract,2020,Fiji,Diesel NCV and direct CO2 factor,GJ/tonne; Mt/PJ,WebAPP/DataStorage/Fiji_v2.6/phase1i_fuel_sector_allocation.json,https://unstats.un.org/unsd/energystats/dataPortal/,2026-08-03,UN public data portal,,43.0 GJ/t and 0.0741 Mt CO2/PJ in active lineage.
SRC_FSH_FIJI_V26,UN DESA / EAPD-DRB,MUIOGO Fiji_v2.6 solved case,v2.6,2020-2050,Fiji,Inherited energy/water/emissions/service boundaries,mixed model units,WebAPP/DataStorage/Fiji_v2.6 R*.json and Environmental_Accounting_v2.6 result,https://github.com/EAPD-DRB/MUIOGO/tree/main/WebAPP/DataStorage/Fiji_v2.6,2026-08-03,Repository license,,Immediate source case and unchanged control.
SRC_FOOD_UN_WPP2024_FJI,United Nations DESA Population Division,World Population Prospects 2024,2024 medium variant,2020-2050,Fiji,Population at 1 July,thousand people,ISO3_code=FJI; Variant=Medium; Time=2020..2050; TPopulation1July; source values are thousands of people,https://population.un.org/wpp/assets/Excel%20Files/1_Indicator%20(Standard)/CSV_FILES/WPP2024_Demographic_Indicators_Medium.csv.gz,2026-08-03,UN data terms of use,,Annual values are frozen in both v2.8 and v2.9 input snapshots; converted to people before use.
SRC_FOOD_FAOSTAT_FBS_FIJI_2021_23,Food and Agriculture Organization of the United Nations,FAOSTAT Food Balance Sheets (2010-),bulk download accessed 2026-08,2021-2023,Fiji,Resident food supply quantity for crops and Fish Seafood,kg/capita/year,"Area=Fiji; Element=Food supply quantity (kg/capita/yr); crop items in v2.8 snapshot and Fish, Seafood in v2.9 snapshot; 2021-2023",https://bulks-faostat.fao.org/production/FoodBalanceSheets_E_All_Data_(Normalized).zip,2026-08-04,FAOSTAT terms / CC BY 4.0,,Downloaded archive SHA-256 26200855ed5da3d0805e34219124e241d0e0bc6959d0995ebc77a10dd84cbaf1; all three fish observations carry flag E.
SRC_FOOD_FAOSTAT_SUA_FIJI_2021_23,Food and Agriculture Organization of the United Nations,FAOSTAT Supply Utilization Accounts (2010-),bulk download accessed 2026-08,2021-2023,Fiji,Food tonnes and crop processing conversion quantities,tonne/year; ratio,Area=Fiji; 2021-2023; Taro and selected CRPOTH raw items; rice milled/processed and raw sugar/cane processed,https://bulks-faostat.fao.org/production/SUA_Crops_Livestock_E_All_Data_(Normalized).zip,2026-08-03,FAOSTAT terms / CC BY 4.0,,Used where the aggregate FBS item is broader than the model commodity and for 0.68 rice and 0.14 sugar conversion evidence.
SRC_FOOD_COMTRADE_CROPS_FJI_2025,United Nations Statistics Division,UN Comtrade annual HS trade data,2025 annual,2025,Fiji; partner World,Crop imports and exports by selected HS code,kg net weight,period=2025; reporterCode=242 (Fiji); partnerCode=0 (World); flowCode=M or X; customsCode=C00; motCode=0; netWgt in kg,https://comtradeapi.un.org/public/v1/preview/C/A/HS,2026-08-03,UN Comtrade terms of use,,Complete HS code/value snapshot is retained in data_sources/snapshots/fiji_v28_population_crop_trade.json.
SRC_FOOD_COMTRADE_FISH_FJI_2025,United Nations Statistics Division,UN Comtrade annual HS trade data,2025 annual,2025,Fiji; partner World,"Fish imports, domestic exports and re-exports for HS0301-0309 and HS1604-1605",kg net weight,"period=2025; reporterCode=242 (Fiji); partnerCode=0 (World); flowCode=M for imports and DX for domestic exports; customsCode=C00; motCode=0; HS0301..0309, HS1604 and HS1605; netWgt in kg",https://comtradeapi.un.org/public/v1/preview/C/A/HS,2026-08-04,UN Comtrade terms of use,,HS1604 aggregate import weight was reconstructed from available six-digit rows; HS160431 value has no weight and is excluded.
SRC_FOOD_FIJI_IMTS_2025,Fiji Bureau of Statistics,International Merchandise Trade Statistics Annual 2025,2025 annual release,2025,Fiji,"National imports, domestic exports and re-exports cross-check",FJD values and published trade aggregates,"Annual 2025 release; imports, domestic exports and re-exports tables",https://www.statsfiji.gov.fj/international-merchandise-trade-statistics-annual-2025/,2026-08-04,Fiji government public statistics,,Cross-check only; the detailed physical net weights come from UN Comtrade.
SRC_FIJI_V27_SOLVED,UN DESA / EAPD-DRB,MUIOGO Fiji_v2.7 solved case,v2.7,2020-2050,Fiji,Immediate source case for v2.8; crop balance duals and Fisheries service calibration,mixed model units,WebAPP/DataStorage/Fiji_v2.7 source JSON and res/Fisheries_v2.7 results,https://github.com/EAPD-DRB/MUIOGO/tree/main/WebAPP/DataStorage/Fiji_v2.7,2026-08-03,Repository license,,All unchanged v2.8 values inherit this solved case.
SRC_FIJI_V28_SOLVED,UN DESA / EAPD-DRB,MUIOGO Fiji_v2.8 solved case,v2.8,2020-2050,Fiji,Immediate source case and unchanged control for v2.9,mixed model units,WebAPP/DataStorage/Fiji_v2.8 source JSON and res/Population_Crop_Trade_v2.8 results,https://github.com/EAPD-DRB/MUIOGO/tree/main/WebAPP/DataStorage/Fiji_v2.8,2026-08-04,Repository license,,"Objective 4158.92072593; matrix 174098 rows, 133862 columns, 732134 nonzeros."
SRC_FIJI_V28_VALIDATION,MUIOGO Fiji model validation workflow,Fiji v2.8 population crop trade validation,working-tree 2026-08-03,2020-2050,Fiji,"Deterministic, generation, matrix, CBC, control and 95 percent drought checks",status; objective; seconds; matrix dimensions; Mt,WebAPP/DataStorage/Fiji_v2.8/validation_population_crop_trade_v28_final.json,https://github.com/EAPD-DRB/MUIOGO/tree/main/WebAPP/DataStorage/Fiji_v2.8,2026-08-03,Repository license,,Copied into validation/population_crop_trade_v28_final.json.
SRC_FIJI_V29_VALIDATION,MUIOGO Fiji model validation workflow,Fiji v2.9 population Fisheries trade validation,working-tree 2026-08-04,2020-2050,Fiji,"Deterministic, generation, matrix, CBC, control, balance, dual and 95 percent production-loss checks",status; objective; seconds; matrix dimensions; Mt; PJ,WebAPP/DataStorage/Fiji_v2.9/validation_population_fisheries_trade_v29_final.json,https://github.com/EAPD-DRB/MUIOGO/tree/main/WebAPP/DataStorage/Fiji_v2.9,2026-08-04,Repository license,,Copied into validation/population_fisheries_trade_v29_final.json.
SRC_FSH_FIJI_MOF_AR2021_22,Fiji Ministry of Fisheries,Annual Report 2021-2022,2021-2022,2021-2022,Fiji,Tilapia and freshwater prawn aquaculture production,metric tonne,"Aquaculture production tables: tilapia 212.83 tonnes; freshwater prawn 4.095 tonnes",https://www.parliament.gov.fj/wp-content/uploads/2023/07/Ministry-of-Fisheries-Annual-Report-2021%E2%80%932022.pdf,2026-08-04,Public government report,,The 216.925 tonne sum anchors the 2020-2023 aggregate aquaculture ceiling.
SRC_FSH_FIJI_AQUACULTURE_PLAN2024_28,Fiji Ministry of Fisheries,Fiji Aquaculture Development Plan 2024-2028,2024-2028,2024-2028,Fiji,Annual tilapia giant river prawn and black tiger shrimp programme deliverables,metric tonne/year,"Detailed Table 18: annual commodity deliverables for December 2024-2028",https://faolex.fao.org/docs/pdf/fij235927.pdf,2026-08-04,Public government plan,,The conservative detailed table is used instead of broader headline goals elsewhere in the plan.
SRC_FIJI_V29_FISHERIES_BOUNDS_VALIDATION,MUIOGO Fiji model validation workflow,Fiji v2.9 aggregate Fisheries activity-ceiling validation,working-tree 2026-08-04,2020-2050,Fiji,"Source diff, deterministic checks, application generation, GLPK matrix check, bounded and live CBC solves, annual ceilings, balances, duals, identity and timestamps",status; objective; seconds; matrix dimensions; Mt; PJ,validation/fisheries_bounds_v29_final.json,https://github.com/EAPD-DRB/CLEWs-FJI/tree/main/Fiji_v2.9_CLEWs_build/validation,2026-08-04,Repository license,,Final report for the promoted v2.9.0 package.
