map_id,model_file,parameter,entity,mode,scenario,years,value_or_expression,model_unit,evidence_ids,superseded_by,notes
MAP_FILE_PHASE1K_TOPOLOGY_CLEANUP_JSON,phase1k_topology_cleanup.json,complete active source file,phase1k_topology_cleanup.json,,SC_0,2020-2050,current Fiji_v2.6 source JSON; unchanged cells inherit Fiji_v2.5,mixed model units,SRC_FIJI_V25_CASE SRC_FIJI_V26_VALIDATION,,File-level coverage; parameter-specific overlay rows below take precedence for changed families.
MAP_FILE_RESERVE_MARGIN_PROXY_JSON,reserve_margin_proxy.json,complete active source file,reserve_margin_proxy.json,,SC_0,2020-2050,current Fiji_v2.6 source JSON; unchanged cells inherit Fiji_v2.5,mixed model units,SRC_FIJI_V25_CASE,,File-level coverage; parameter-specific overlay rows below take precedence for changed families.
MAP_FILE_VALIDATION_NATIONAL_LAND_JSON,validation_national_land.json,complete active source file,validation_national_land.json,,SC_0,2020-2050,current Fiji_v2.6 source JSON; unchanged cells inherit Fiji_v2.5,mixed model units,SRC_FIJI_V26_VALIDATION,,File-level coverage; parameter-specific overlay rows below take precedence for changed families.
MAP_FIXED_LNDFORTOT,RYT.json,TotalAnnualTechnologyActivityLowerLimit=UpperLimit,LNDFORTOT,1,SC_0,2020-2050,11.1344,1000 km2/year,CALC_LAND_FOREST_MODEL_UNITS ASM_LAND_HORIZON_CONSTANT,,
MAP_MODE_LNDFORTOT,RYTM.json,TotalTechnologyAnnualActivityByModeUpperLimit,LNDFORTOT,1,SC_0,2020-2050,11.1344,1000 km2/year,CALC_LAND_FOREST_MODEL_UNITS ASM_LAND_HORIZON_CONSTANT,,
MAP_FIXED_LNDGRSTOT,RYT.json,TotalAnnualTechnologyActivityLowerLimit=UpperLimit,LNDGRSTOT,1,SC_0,2020-2050,1.73,1000 km2/year,CALC_LAND_GRASS_MODEL_UNITS ASM_LAND_HORIZON_CONSTANT,,
MAP_MODE_LNDGRSTOT,RYTM.json,TotalTechnologyAnnualActivityByModeUpperLimit,LNDGRSTOT,1,SC_0,2020-2050,1.73,1000 km2/year,CALC_LAND_GRASS_MODEL_UNITS ASM_LAND_HORIZON_CONSTANT,,
MAP_FIXED_LNDBLTTOT,RYT.json,TotalAnnualTechnologyActivityLowerLimit=UpperLimit,LNDBLTTOT,1,SC_0,2020-2050,0.4313919726492575,1000 km2/year,CALC_LAND_BUILT_SCALED ASM_LAND_HORIZON_CONSTANT,,
MAP_MODE_LNDBLTTOT,RYTM.json,TotalTechnologyAnnualActivityByModeUpperLimit,LNDBLTTOT,1,SC_0,2020-2050,0.4313919726492575,1000 km2/year,CALC_LAND_BUILT_SCALED ASM_LAND_HORIZON_CONSTANT,,
MAP_FIXED_LNDWATTOT,RYT.json,TotalAnnualTechnologyActivityLowerLimit=UpperLimit,LNDWATTOT,1,SC_0,2020-2050,0.16680430818632933,1000 km2/year,CALC_LAND_WATER_SCALED ASM_LAND_HORIZON_CONSTANT,,
MAP_MODE_LNDWATTOT,RYTM.json,TotalTechnologyAnnualActivityByModeUpperLimit,LNDWATTOT,1,SC_0,2020-2050,0.16680430818632933,1000 km2/year,CALC_LAND_WATER_SCALED ASM_LAND_HORIZON_CONSTANT,,
MAP_FIXED_LNDBARTOT,RYT.json,TotalAnnualTechnologyActivityLowerLimit=UpperLimit,LNDBARTOT,1,SC_0,2020-2050,0.0026639171888409225,1000 km2/year,CALC_LAND_BARE_SCALED ASM_LAND_HORIZON_CONSTANT,,
MAP_MODE_LNDBARTOT,RYTM.json,TotalTechnologyAnnualActivityByModeUpperLimit,LNDBARTOT,1,SC_0,2020-2050,0.0026639171888409225,1000 km2/year,CALC_LAND_BARE_SCALED ASM_LAND_HORIZON_CONSTANT,,
MAP_RATIO_LNDYAMLITOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDYAMLITOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDYAMLITOT,,
MAP_RATIO_LNDYAMLRTOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDYAMLRTOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDYAMLRTOT,,
MAP_RATIO_LNDCONLRTOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDCONLRTOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDCONLRTOT,,
MAP_RATIO_LNDCASHITOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDCASHITOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDCASHITOT,,
MAP_RATIO_LNDCASLRTOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDCASLRTOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDCASLRTOT,,
MAP_RATIO_LNDSGCHITOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDSGCHITOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDSGCHITOT,,
MAP_RATIO_LNDSGCLITOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDSGCLITOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDSGCLITOT,,
MAP_RATIO_LNDCONHRTOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDCONHRTOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDCONHRTOT,,
MAP_RATIO_LNDCONHITOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDCONHITOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDCONHITOT,,
MAP_RATIO_LNDCONLITOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDCONLITOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDCONLITOT,,
MAP_RATIO_LNDCASHRTOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDCASHRTOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDCASHRTOT,,
MAP_RATIO_LNDYAMHITOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDYAMHITOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDYAMHITOT,,
MAP_RATIO_LNDCASLITOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDCASLITOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDCASLITOT,,
MAP_RATIO_LNDYAMHRTOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDYAMHRTOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDYAMHRTOT,,
MAP_RATIO_LNDSGCHRTOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDSGCHRTOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDSGCHRTOT,,
MAP_RATIO_LNDSGCLRTOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDSGCLRTOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDSGCLRTOT,,
MAP_RATIO_LNDOTHLITOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDOTHLITOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDOTHLITOT,,
MAP_RATIO_LNDOTHHITOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDOTHHITOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDOTHHITOT,,
MAP_RATIO_LNDOTHLRTOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDOTHLRTOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDOTHLRTOT,,
MAP_RATIO_LNDOTHHRTOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDOTHHRTOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDOTHHRTOT,,
MAP_RATIO_LNDBARTOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDBARTOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDBARTOT,,
MAP_RATIO_LNDBLTTOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDBLTTOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDBLTTOT,,
MAP_RATIO_LNDFORTOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDFORTOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDFORTOT,,
MAP_RATIO_LNDGRSTOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDGRSTOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDGRSTOT,,
MAP_RATIO_LNDOTHTOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDOTHTOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDOTHTOT,,
MAP_RATIO_LNDWATTOT,RYTCM.json,InputActivityRatio and OutputActivityRatio,LNDWATTOT,1,SC_0,2020-2050,national area-weighted coefficients from four Fiji v2.5 zones,commodity per 1000 km2 activity,CALC_NATIONAL_LNDWATTOT,,
MAP_MINLNDTOT_STOCK,RYT.json,TotalAnnualTechnologyActivityLowerLimit=UpperLimit,MINLNDTOT,1,SC_0,2020-2050,18.2729,1000 km2/year,CALC_LAND_COUNTRY_MODEL_UNITS,,
MAP_LAND_NATIONAL_CONSTANT,RYCn.json,UserConstraintConstant,LAND_NATIONAL_CLOSURE,,SC_0,2020-2050,0,1000 km2/year,CALC_LAND_COUNTRY_MODEL_UNITS CALC_LAND_OTHER_RESIDUAL,,
MAP_LAND_NATIONAL_MULTIPLIERS,RYTCn.json,UserConstraintActivityMultiplier,LAND_NATIONAL_CLOSURE,,SC_0,2020-2050,MINLNDTOT - sum(26 LND...TOT) = 0,dimensionless,CALC_LAND_OTHER_RESIDUAL,,
MAP_LAND_CROP_CAP,RYCn.json,UserConstraintUpperLimit,LAND_CROPLAND_LIMIT,,SC_0,2020-2050,1.386,1000 km2/year,CALC_LAND_CROPLAND_MODEL_UNITS,,
MAP_LAND_IRRIGATION_CAP,RYCn.json,UserConstraintUpperLimit,LAND_IRRIGATION_LIMIT,,SC_0,2020-2050,0.04,1000 km2/year,CALC_LAND_IRRIGATION_MODEL_UNITS,,
MAP_ENV_LAND_RATIOS,RYTCM.json,InputActivityRatio,ENV_LAND,1-4,SC_0,2020-2050,"modes 1..4 consume LNDFOR, LNDGRS, LNDOTH and LNDBAR one-for-one",1000 km2/1000 km2,CALC_ENV_LAND,,
MAP_ENV_LAND_CLOSURE,RYTCn.json,UserConstraintActivityMultiplier,ENV_LAND_CLOSURE,,SC_0,2020-2050,LNDFORTOT + LNDGRSTOT + LNDOTHTOT + LNDBARTOT - ENV_LAND = 0,dimensionless,CALC_ENV_LAND,,
MAP_ENV_WATER_RATIOS,RYTCM.json,InputActivityRatio,ENV_WATER,1-3,SC_0,2020-2050,"three modes consume WTREVTFJI, WTRGRCFJI, WTRSURFJI one-for-one",km3/km3,CALC_ENV_WATER,,
MAP_ENV_WATER_CLOSURE,RYTCn.json,UserConstraintActivityMultiplier,ENV_WATER_CLOSURE,,SC_0,2020-2050,net water production/use including ENV_WATER = 0,dimensionless,CALC_ENV_WATER,,
MAP_THERMAL_HEAT_RATE,RYTCM.json,InputActivityRatio,PWROILFJIXX01,2,SC_0,2020-2050,2.4858165353507773,PJ/PJ,CALC_THERMAL_FROZEN_HEAT_RATE ASM_THERMAL_HEAT_RATE_FREEZE,,
MAP_THERMAL_VALIDATION,phase1f_thermal_fuel_cost.json,validation observations,PWROILFJIXX01,,benchmark,2023-2024,2023-2024 observed heat-rate and variable-cost cross-checks,PJ/PJ; USD/GJ,CALC_THERMAL_2023 CALC_THERMAL_2024,,
MAP_CROP_YIELD_CAS,RYTCM.json,OutputActivityRatio,LNDCASHRTOT,1,SC_0,2020-2050,2020-2022 observed-yield multiplier; 2022 multiplier held to 2050,Mt crop per 1000 km2,CALC_CROP_CAS_2020 CALC_CROP_CAS_2021 CALC_CROP_CAS_2022 ASM_CROP_POST2022_YIELD,,
MAP_CROP_DEMAND_CAS,RYC.json,SpecifiedAnnualDemand,CRPCAS,,SC_0,2020-2050,FAOSTAT observations through 2024 then inherited growth,Mt,CALC_CROP_DEMAND_CAS,CHG_CROP_POP_TRADE_V28,
MAP_CROP_YIELD_BENCHMARK_CAS,phase1g_crop_land.json,yield validation observations,LNDCASHRTOT,,benchmark,2023-2024,FAOSTAT observed yields retained for 2023-2024 validation,Mt crop per 1000 km2,CALC_CROP_CAS_2023 CALC_CROP_CAS_2024,,
MAP_CROP_YIELD_CON,RYTCM.json,OutputActivityRatio,LNDCONHRTOT,1,SC_0,2020-2050,2020-2022 observed-yield multiplier; 2022 multiplier held to 2050,Mt crop per 1000 km2,CALC_CROP_CON_2020 CALC_CROP_CON_2021 CALC_CROP_CON_2022 ASM_CROP_POST2022_YIELD,,
MAP_CROP_DEMAND_CON,RYC.json,SpecifiedAnnualDemand,CRPCON,,SC_0,2020-2050,FAOSTAT observations through 2024 then inherited growth,Mt,CALC_CROP_DEMAND_CON,CHG_CROP_POP_TRADE_V28,
MAP_CROP_YIELD_BENCHMARK_CON,phase1g_crop_land.json,yield validation observations,LNDCONHRTOT,,benchmark,2023-2024,FAOSTAT observed yields retained for 2023-2024 validation,Mt crop per 1000 km2,CALC_CROP_CON_2023 CALC_CROP_CON_2024,,
MAP_CROP_YIELD_OTH,RYTCM.json,OutputActivityRatio,LNDOTHHRTOT,1,SC_0,2020-2050,2020-2022 observed-yield multiplier; 2022 multiplier held to 2050,Mt crop per 1000 km2,CALC_CROP_OTH_2020 CALC_CROP_OTH_2021 CALC_CROP_OTH_2022 ASM_CROP_POST2022_YIELD,,
MAP_CROP_DEMAND_OTH,RYC.json,SpecifiedAnnualDemand,CRPOTH,,SC_0,2020-2050,FAOSTAT observations through 2024 then inherited growth,Mt,CALC_CROP_DEMAND_OTH,CHG_CROP_POP_TRADE_V28,
MAP_CROP_YIELD_BENCHMARK_OTH,phase1g_crop_land.json,yield validation observations,LNDOTHHRTOT,,benchmark,2023-2024,FAOSTAT observed yields retained for 2023-2024 validation,Mt crop per 1000 km2,CALC_CROP_OTH_2023 CALC_CROP_OTH_2024,,
MAP_CROP_YIELD_SGC,RYTCM.json,OutputActivityRatio,LNDSGCHRTOT,1,SC_0,2020-2050,2020-2022 observed-yield multiplier; 2022 multiplier held to 2050,Mt crop per 1000 km2,CALC_CROP_SGC_2020 CALC_CROP_SGC_2021 CALC_CROP_SGC_2022 ASM_CROP_POST2022_YIELD,,
MAP_CROP_DEMAND_BENCHMARK_SGC,phase1g_crop_land.json,production benchmark,CRPSGC,,benchmark,2020-2024,FAOSTAT observations retained without a direct demand overwrite,Mt,CALC_CROP_DEMAND_SGC,,
MAP_CROP_YIELD_BENCHMARK_SGC,phase1g_crop_land.json,yield validation observations,LNDSGCHRTOT,,benchmark,2023-2024,FAOSTAT observed yields retained for 2023-2024 validation,Mt crop per 1000 km2,CALC_CROP_SGC_2023 CALC_CROP_SGC_2024,,
MAP_CROP_YIELD_YAM,RYTCM.json,OutputActivityRatio,LNDYAMHRTOT,1,SC_0,2020-2050,2020-2022 observed-yield multiplier; 2022 multiplier held to 2050,Mt crop per 1000 km2,CALC_CROP_YAM_2020 CALC_CROP_YAM_2021 CALC_CROP_YAM_2022 ASM_CROP_POST2022_YIELD,,
MAP_CROP_DEMAND_YAM,RYC.json,SpecifiedAnnualDemand,CRPYAM,,SC_0,2020-2050,FAOSTAT observations through 2024 then inherited growth,Mt,CALC_CROP_DEMAND_YAM,CHG_CROP_POP_TRADE_V28,
MAP_CROP_YIELD_BENCHMARK_YAM,phase1g_crop_land.json,yield validation observations,LNDYAMHRTOT,,benchmark,2023-2024,FAOSTAT observed yields retained for 2023-2024 validation,Mt crop per 1000 km2,CALC_CROP_YAM_2023 CALC_CROP_YAM_2024,,
